Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2023-02-28,32,20,26,3.8,39,0,T,T,12
2023-02-27,32,4,18,-3.7,47,0,0,0,12
2023-02-26,44,3,23.5,2.3,41,0,0,0,12
2023-02-25,28,9,18.5,-2.3,46,0,0,0,12
2023-02-24,26,3,14.5,-5.8,50,0,0.13,0.9,12
2023-02-23,35,-1,17,-2.9,48,0,0.1,0.6,11
2023-02-22,44,27,35.5,16,29,0,T,T,11
2023-02-21,37,25,31,11.9,34,0,0,0,12
2023-02-20,34,25,29.5,10.8,35,0,T,T,13
2023-02-19,28,-4,12,-6.3,53,0,0,0,13
2023-02-18,6,-19,-6.5,-24.4,71,0,0,0,14
2023-02-17,13,-21,-4,-21.5,69,0,0,0,14
2023-02-16,17,-11,3,-14.2,62,0,0,0,14
2023-02-15,28,9,18.5,1.6,46,0,T,0.2,14
2023-02-14,14,-13,0.5,-16.1,64,0,T,0.3,15
2023-02-13,15,-15,0,-16.3,65,0,0,0,15
2023-02-12,7,-20,-6.5,-22.5,71,0,0,0,15
2023-02-11,4,-22,-9,-24.7,74,0,0,0,15
2023-02-10,24,-22,1,-14.5,64,0,0,0,15
2023-02-09,21,-11,5,-10.2,60,0,0.05,0.6,15
2023-02-08,13,-11,1,-14,64,0,0,0,15
2023-02-07,29,-11,9,-5.8,56,0,0,0,15
2023-02-06,34,10,22,7.4,43,0,T,T,15
2023-02-05,11,-9,1,-13.4,64,0,0,0,16
2023-02-04,3,-21,-9,-23.3,74,0,T,T,17
2023-02-03,8,-23,-7.5,-21.6,72,0,0,0,17
2023-02-02,8,-18,-5,-19,70,0,0,0,17
2023-02-01,2,-21,-9.5,-23.3,74,0,0,0,17
2023-01-31,20,-20,0,-13.7,65,0,0.12,1.6,18
2023-01-30,30,17,23.5,9.9,41,0,0.24,5.8,18
2023-01-29,29,16,22.5,9,42,0,0.06,0.5,13
2023-01-28,26,14,20,6.7,45,0,0.12,1.6,12
